epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0411,3.09352,4.93749,4.29828,0,0,0,0,2.16462,3.72581,4.15343,0.0001251,0.0001251,0.0001251
2,65.417,3.01402,4.84096,4.23421,0,0,0,0,2.17038,3.66663,4.12096,0.000251852,0.000251852,0.000251852
3,93.7129,3.04938,4.84917,4.17903,0.0008,0.2,0.00447,0.00227,2.1755,3.60397,4.07623,0.000376044,0.000376044,0.000376044
4,121.841,3.10655,4.75533,4.14079,0.00063,0.2,0.00162,0.00072,2.16744,3.60916,4.05331,0.000404615,0.000404615,0.000404615
5,149.101,2.9959,4.63132,4.11837,0.60765,0.02652,0.01222,0.00416,2.26545,3.71895,4.0188,0.000400487,0.000400487,0.000400487
6,175.852,2.94821,4.64967,4.06895,0.28267,0.10913,0.03879,0.00932,2.40041,9.98422,4.01739,0.000396358,0.000396358,0.000396358
7,202.99,2.88477,4.48817,3.99346,0.05481,0.18563,0.03239,0.00895,2.56907,4.88122,3.99051,0.00039223,0.00039223,0.00039223
8,231.272,2.9053,4.42948,3.91851,0.21251,0.10682,0.01368,0.00331,2.55443,16.3059,4.00069,0.000388102,0.000388102,0.000388102
9,259.008,2.98427,4.31693,3.88069,0.03653,0.24352,0.0354,0.01042,2.63101,9.4086,4.01606,0.000383974,0.000383974,0.000383974
10,287.602,2.88457,4.31849,3.82775,0.24538,0.09113,0.02578,0.00536,2.63779,9.38592,3.94978,0.000379845,0.000379845,0.000379845
11,315.797,2.95494,4.29455,3.79056,0.01957,0.12133,0.02164,0.00459,2.52018,4.2056,3.80008,0.000375717,0.000375717,0.000375717
12,344.977,2.89365,4.17579,3.70637,0.84998,0.04583,0.03591,0.00875,2.50054,3.80354,3.85347,0.000371589,0.000371589,0.000371589
13,373.277,2.9799,4.14796,3.6828,0.24543,0.16818,0.06024,0.02045,2.4514,7.86001,3.82072,0.00036746,0.00036746,0.00036746
14,400.84,2.90808,4.04644,3.61071,0.81579,0.0625,0.02254,0.00663,2.53269,16.6619,3.69059,0.000363332,0.000363332,0.000363332
15,427.531,2.78816,3.97019,3.59433,0.44719,0.08517,0.0519,0.01389,2.70067,3.53923,3.66218,0.000359204,0.000359204,0.000359204
16,453.335,2.81761,4.0758,3.59828,0.54535,0.12498,0.10081,0.02957,2.68532,3.21654,3.57609,0.000355076,0.000355076,0.000355076
17,480.952,2.76387,3.99782,3.5073,0.40842,0.09912,0.07821,0.03002,2.53538,4.40721,3.52702,0.000350947,0.000350947,0.000350947
18,507.705,2.73862,3.95641,3.50603,0.4072,0.10631,0.11018,0.03517,2.46361,2.99189,3.43272,0.000346819,0.000346819,0.000346819
19,535.91,2.6769,3.90845,3.46607,0.25761,0.25317,0.06968,0.01675,2.57188,3.61042,3.45104,0.000342691,0.000342691,0.000342691
20,563.844,2.59565,3.9118,3.45439,0.24898,0.2549,0.07087,0.01689,2.37373,3.79511,3.39576,0.000338562,0.000338562,0.000338562
21,591.316,2.60584,3.82148,3.3848,0.55446,0.18359,0.14952,0.05832,2.29159,3.25476,3.37189,0.000334434,0.000334434,0.000334434
22,618.021,2.67632,3.83374,3.32391,0.26151,0.20496,0.14614,0.05786,2.25145,3.22312,3.3207,0.000330306,0.000330306,0.000330306
23,644.953,2.59436,3.80741,3.3424,0.0789,0.18038,0.07224,0.02199,2.32142,3.17262,3.31872,0.000326177,0.000326177,0.000326177
24,673.118,2.54692,3.80549,3.28675,0.48976,0.20112,0.19704,0.08389,2.26826,2.84848,3.29968,0.000322049,0.000322049,0.000322049
25,700.157,2.58863,3.74537,3.2564,0.14031,0.37911,0.1836,0.06824,2.23242,4.05702,3.22769,0.000317921,0.000317921,0.000317921
26,728.024,2.49931,3.67857,3.18791,0.34197,0.13915,0.12549,0.05074,2.09326,2.98427,3.25254,0.000313792,0.000313792,0.000313792
27,756.936,2.38067,3.80467,3.20578,0.56029,0.15751,0.1973,0.08328,2.10309,2.96287,3.16839,0.000309664,0.000309664,0.000309664
28,784.538,2.39762,3.71583,3.16701,0.6488,0.13988,0.19174,0.08841,2.03385,2.79807,3.11647,0.000305536,0.000305536,0.000305536
29,812.305,2.39979,3.67298,3.14301,0.62373,0.15718,0.20068,0.08395,2.16231,3.0076,3.22193,0.000301408,0.000301408,0.000301408
30,840.413,2.39136,3.67882,3.12049,0.36794,0.25332,0.15604,0.06542,2.15729,2.83551,3.19686,0.000297279,0.000297279,0.000297279
31,868.467,2.33135,3.60101,3.02339,0.33124,0.23585,0.20308,0.08163,2.04646,3.00782,3.14386,0.000293151,0.000293151,0.000293151
32,897.817,2.31573,3.60006,3.00116,0.44217,0.22091,0.20072,0.08959,1.99739,2.92797,3.08095,0.000289023,0.000289023,0.000289023
33,926.205,2.33647,3.51298,3.00299,0.35442,0.24903,0.19526,0.08908,2.0117,2.93949,3.04593,0.000284894,0.000284894,0.000284894
34,953.313,2.26803,3.54258,2.97295,0.31045,0.24659,0.16211,0.07524,2.01455,2.92446,3.02283,0.000280766,0.000280766,0.000280766
35,981.955,2.31334,3.57864,2.99126,0.25657,0.29657,0.22869,0.09554,2.00707,2.97705,3.01564,0.000276638,0.000276638,0.000276638
36,1010.39,2.26018,3.45966,2.98143,0.24466,0.33747,0.2215,0.09424,2.07137,3.68695,3.06485,0.000272509,0.000272509,0.000272509
37,1039.54,2.2387,3.54938,2.91155,0.27161,0.36677,0.23832,0.10944,1.93578,2.89096,2.96874,0.000268381,0.000268381,0.000268381
38,1066.68,2.18493,3.39697,2.90469,0.22796,0.35025,0.20833,0.09027,2.08646,3.39633,3.06547,0.000264253,0.000264253,0.000264253
39,1093.52,2.131,3.39397,2.86789,0.36637,0.29257,0.25506,0.12067,1.9326,2.77948,2.95911,0.000260125,0.000260125,0.000260125
40,1120.39,2.11544,3.39329,2.83567,0.18563,0.37785,0.22934,0.10829,1.9173,3.52874,2.92489,0.000255996,0.000255996,0.000255996
41,1148.86,2.12669,3.45314,2.83918,0.50045,0.21475,0.2603,0.1228,1.87547,2.60806,2.97992,0.000251868,0.000251868,0.000251868
42,1176.88,1.99194,3.36137,2.75999,0.60561,0.24493,0.29337,0.15076,1.79634,3.0938,2.7955,0.00024774,0.00024774,0.00024774
43,1205.76,2.05067,3.22745,2.76228,0.24195,0.30068,0.26827,0.11627,1.8967,2.832,2.88501,0.000243611,0.000243611,0.000243611
44,1232.86,2.03801,3.41572,2.74293,0.3469,0.27592,0.23251,0.12142,1.83574,3.70505,2.91608,0.000239483,0.000239483,0.000239483
45,1259,2.00308,3.28819,2.75688,0.24943,0.33472,0.27581,0.14313,1.78525,2.70113,2.86004,0.000235355,0.000235355,0.000235355
46,1286.35,2.03314,3.16932,2.71462,0.30742,0.38257,0.28719,0.14695,1.78326,2.56422,2.81507,0.000231226,0.000231226,0.000231226
47,1314.36,1.94738,3.40826,2.71922,0.66749,0.25146,0.31279,0.15496,1.76785,2.61758,2.795,0.000227098,0.000227098,0.000227098
48,1342.51,1.99198,3.30202,2.70509,0.50766,0.308,0.30822,0.14812,1.7472,2.85973,2.78123,0.00022297,0.00022297,0.00022297
49,1369.23,1.94562,3.23153,2.65799,0.32065,0.37835,0.3147,0.16039,1.75882,2.52502,2.73987,0.000218842,0.000218842,0.000218842
50,1397.38,1.97907,3.18258,2.69567,0.49684,0.28593,0.34161,0.1627,1.74393,2.65572,2.77977,0.000214713,0.000214713,0.000214713
51,1425.58,1.96243,3.16868,2.66275,0.2646,0.44718,0.32434,0.16136,1.72972,2.76578,2.71119,0.000210585,0.000210585,0.000210585
52,1454.18,1.92906,3.10935,2.64162,0.47316,0.34963,0.29153,0.1449,1.74145,2.47853,2.79509,0.000206457,0.000206457,0.000206457
53,1483,1.94896,3.13389,2.6305,0.18464,0.36114,0.28242,0.14488,1.66534,3.05796,2.6975,0.000202328,0.000202328,0.000202328
54,1510.68,1.91719,3.15978,2.60963,0.44508,0.37768,0.38653,0.19508,1.69661,2.39376,2.68524,0.0001982,0.0001982,0.0001982
55,1538.77,1.89527,3.16062,2.57993,0.33621,0.44876,0.41147,0.16828,1.83062,2.70769,2.76533,0.000194072,0.000194072,0.000194072
56,1567.18,1.9716,3.19944,2.65292,0.49474,0.33652,0.434,0.19241,1.73732,2.69619,2.69707,0.000189943,0.000189943,0.000189943
57,1595.54,1.90743,3.10532,2.5902,0.39429,0.44715,0.44628,0.22711,1.67651,2.40042,2.60748,0.000185815,0.000185815,0.000185815
58,1623.6,1.85161,3.10428,2.54245,0.40205,0.47542,0.43465,0.22871,1.64487,2.34913,2.60762,0.000181687,0.000181687,0.000181687
59,1651.02,1.8414,3.12983,2.58632,0.34072,0.41704,0.39008,0.19885,1.6882,2.51039,2.71837,0.000177559,0.000177559,0.000177559
60,1678.8,1.905,3.11925,2.55051,0.54304,0.28545,0.37076,0.1981,1.68599,2.91154,2.65522,0.00017343,0.00017343,0.00017343
61,1705.43,1.86467,3.07864,2.50934,0.39557,0.47657,0.46813,0.24512,1.63903,2.2547,2.59319,0.000169302,0.000169302,0.000169302
62,1733.98,1.88267,3.07148,2.54526,0.48062,0.39989,0.46666,0.24953,1.63079,2.18664,2.58394,0.000165174,0.000165174,0.000165174
63,1761.18,1.78804,3.01398,2.51633,0.43815,0.3922,0.47461,0.24449,1.63196,2.32657,2.59503,0.000161045,0.000161045,0.000161045
64,1789.7,1.86368,2.94683,2.5187,0.34324,0.47205,0.43153,0.20345,1.60404,2.56385,2.56341,0.000156917,0.000156917,0.000156917
65,1816.86,1.88864,3.07168,2.52605,0.41483,0.5019,0.48043,0.24185,1.58588,2.30638,2.55248,0.000152789,0.000152789,0.000152789
66,1843.7,1.78095,2.96151,2.50767,0.58322,0.44413,0.53756,0.27339,1.59646,2.32048,2.51791,0.00014866,0.00014866,0.00014866
67,1870.44,1.78789,2.93401,2.47475,0.56988,0.5031,0.52855,0.27933,1.58468,2.18036,2.51412,0.000144532,0.000144532,0.000144532
68,1897.2,1.84344,2.94559,2.5362,0.45134,0.4629,0.50953,0.27838,1.56385,2.07268,2.51799,0.000140404,0.000140404,0.000140404
69,1923.76,1.78789,2.93816,2.48554,0.40317,0.49609,0.47369,0.25296,1.55986,2.30649,2.52067,0.000136276,0.000136276,0.000136276
70,1949.04,1.78514,2.88273,2.44737,0.44944,0.49342,0.50952,0.26587,1.54181,2.31218,2.46941,0.000132147,0.000132147,0.000132147
71,1975.7,1.82059,2.96781,2.49774,0.46723,0.52364,0.53341,0.27503,1.55197,2.25322,2.46454,0.000128019,0.000128019,0.000128019
72,2002.22,1.75225,2.84486,2.48118,0.44354,0.48523,0.52139,0.26924,1.56027,2.03926,2.48961,0.000123891,0.000123891,0.000123891
73,2029.02,1.78117,2.86735,2.44991,0.51417,0.48949,0.51148,0.25912,1.58596,2.12949,2.52132,0.000119762,0.000119762,0.000119762
74,2056.22,1.79267,2.90562,2.49,0.52113,0.47237,0.51984,0.27156,1.54879,2.13882,2.45734,0.000115634,0.000115634,0.000115634
75,2083.08,1.82507,2.86262,2.46186,0.5671,0.46882,0.52751,0.28366,1.55523,1.98537,2.46849,0.000111506,0.000111506,0.000111506
76,2111.14,1.75599,2.86689,2.4397,0.51663,0.53538,0.56604,0.29615,1.59904,2.08728,2.47761,0.000107378,0.000107378,0.000107378
77,2139.25,1.80751,2.863,2.46305,0.45863,0.53024,0.54572,0.29216,1.54862,2.48584,2.40898,0.000103249,0.000103249,0.000103249
78,2166.79,1.74816,2.91733,2.44959,0.42737,0.54594,0.5541,0.29938,1.48055,2.14589,2.40379,9.91209e-05,9.91209e-05,9.91209e-05
79,2194.47,1.73644,2.85773,2.42864,0.51894,0.49509,0.5594,0.29944,1.52952,1.99634,2.45745,9.49926e-05,9.49926e-05,9.49926e-05
80,2221.23,1.75577,2.84581,2.44711,0.49625,0.50905,0.53729,0.28681,1.53557,2.02563,2.45554,9.08643e-05,9.08643e-05,9.08643e-05
81,2247.47,1.77884,2.87181,2.42747,0.47964,0.51169,0.54255,0.29154,1.54138,2.10089,2.43772,8.6736e-05,8.6736e-05,8.6736e-05
82,2274.01,1.79116,2.84027,2.4389,0.48128,0.54424,0.56301,0.29921,1.53995,1.96298,2.46603,8.26077e-05,8.26077e-05,8.26077e-05
83,2302.26,1.75812,2.7953,2.44847,0.4998,0.53871,0.57653,0.30525,1.51104,1.93498,2.45169,7.84794e-05,7.84794e-05,7.84794e-05
84,2329.89,1.77498,2.79646,2.39882,0.56514,0.49584,0.57575,0.30774,1.50273,1.90975,2.44279,7.43511e-05,7.43511e-05,7.43511e-05
85,2357.88,1.71017,2.81656,2.40809,0.67682,0.50515,0.59237,0.31597,1.51004,1.9182,2.42325,7.02228e-05,7.02228e-05,7.02228e-05
86,2384.49,1.74932,2.80552,2.40044,0.65996,0.49898,0.59311,0.319,1.50447,1.94112,2.41746,6.60945e-05,6.60945e-05,6.60945e-05
87,2410.63,1.75534,2.88153,2.38642,0.63784,0.49385,0.5854,0.3169,1.51919,1.95058,2.43718,6.19662e-05,6.19662e-05,6.19662e-05
88,2437.52,1.70954,2.79885,2.40815,0.62374,0.50515,0.59889,0.32802,1.48218,1.91355,2.40291,5.78379e-05,5.78379e-05,5.78379e-05
89,2464.18,1.71066,2.81874,2.41224,0.58961,0.51626,0.59655,0.32826,1.46496,1.96543,2.37458,5.37096e-05,5.37096e-05,5.37096e-05
90,2490.77,1.67276,2.77293,2.3612,0.57548,0.53428,0.59712,0.32906,1.46532,1.91746,2.3794,4.95813e-05,4.95813e-05,4.95813e-05
91,2522.5,1.56523,3.12371,2.49631,0.55935,0.5248,0.58813,0.32355,1.48026,1.91123,2.40409,4.5453e-05,4.5453e-05,4.5453e-05
92,2550.48,1.60257,2.98783,2.53353,0.54557,0.52719,0.59755,0.33837,1.47163,1.83533,2.39218,4.13247e-05,4.13247e-05,4.13247e-05
93,2578.65,1.58792,2.89158,2.50424,0.59217,0.54863,0.62299,0.36087,1.4574,1.77515,2.37573,3.71964e-05,3.71964e-05,3.71964e-05
94,2606.3,1.57004,2.75424,2.4868,0.58812,0.58314,0.63546,0.36947,1.43211,1.71922,2.35856,3.30681e-05,3.30681e-05,3.30681e-05
95,2633.89,1.59442,2.72119,2.47303,0.63079,0.57469,0.65079,0.3764,1.42339,1.67929,2.35957,2.89398e-05,2.89398e-05,2.89398e-05
96,2661.17,1.58298,2.629,2.44237,0.66416,0.58413,0.64896,0.37813,1.41571,1.67668,2.35279,2.48115e-05,2.48115e-05,2.48115e-05
97,2687.54,1.52456,2.62523,2.45869,0.6251,0.60821,0.66342,0.38657,1.40231,1.65836,2.33533,2.06832e-05,2.06832e-05,2.06832e-05
98,2715.09,1.53186,2.61623,2.41716,0.63974,0.61519,0.67179,0.39051,1.40418,1.67296,2.32639,1.65549e-05,1.65549e-05,1.65549e-05
99,2740.89,1.49581,2.58563,2.41669,0.64579,0.62909,0.67993,0.39437,1.39928,1.64695,2.32208,1.24266e-05,1.24266e-05,1.24266e-05
100,2766.93,1.47436,2.58321,2.40682,0.64314,0.63638,0.68401,0.39629,1.39937,1.64328,2.3202,8.2983e-06,8.2983e-06,8.2983e-06
