epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,5154.44,0.36284,0.31143,1.01126,0.98175,0.99437,0.99426,0.98129,0.24391,0.19891,0.81166,4.75171e-05,4.75171e-05,4.75171e-05
181,5182.34,0.3987,0.35167,1.05945,0.98296,0.99243,0.99435,0.9806,0.25041,0.19803,0.81693,4.5453e-05,4.5453e-05,4.5453e-05
182,5210.88,0.33227,0.3006,0.9638,0.98411,0.99218,0.99435,0.97987,0.24834,0.20038,0.81412,4.33888e-05,4.33888e-05,4.33888e-05
183,5238.28,0.36754,0.32983,1.01784,0.98576,0.99186,0.99435,0.98099,0.24232,0.19542,0.81021,4.13247e-05,4.13247e-05,4.13247e-05
184,5266.09,0.4445,0.41887,1.09531,0.98115,0.99326,0.99416,0.98282,0.23957,0.19476,0.80927,3.92605e-05,3.92605e-05,3.92605e-05
185,5294.89,0.33848,0.30353,0.98623,0.98645,0.99483,0.99435,0.98493,0.23508,0.19599,0.80474,3.71964e-05,3.71964e-05,3.71964e-05
186,5323.79,0.36284,0.32654,1.01083,0.98559,0.99583,0.99444,0.98373,0.23336,0.19525,0.80175,3.51322e-05,3.51322e-05,3.51322e-05
187,5350.74,0.37179,0.32134,1.02032,0.98443,0.99827,0.99452,0.98364,0.22922,0.19064,0.79802,3.30681e-05,3.30681e-05,3.30681e-05
188,5378.09,0.36904,0.31606,1.00854,0.99088,0.99074,0.99459,0.98306,0.22762,0.18445,0.79556,3.10039e-05,3.10039e-05,3.10039e-05
189,5405.2,0.37998,0.33068,1.01633,0.99113,0.98953,0.99459,0.98478,0.22684,0.18512,0.79429,2.89398e-05,2.89398e-05,2.89398e-05
190,5432.74,0.36076,0.35392,1.02004,0.99116,0.98909,0.99467,0.98519,0.22542,0.18554,0.79273,2.68757e-05,2.68757e-05,2.68757e-05
191,5463.47,0.30023,0.36282,1.00263,0.9917,0.9875,0.9946,0.98271,0.23208,0.19261,0.79676,2.48115e-05,2.48115e-05,2.48115e-05
192,5491,0.31866,0.39673,1.00743,0.98673,0.9875,0.99435,0.97908,0.24248,0.19968,0.80369,2.27474e-05,2.27474e-05,2.27474e-05
193,5518.05,0.29216,0.26106,0.96996,0.99089,0.98303,0.9943,0.97815,0.25294,0.20288,0.81509,2.06832e-05,2.06832e-05,2.06832e-05
194,5545.07,0.28387,0.29106,0.96804,0.98903,0.9875,0.99458,0.97731,0.25093,0.20109,0.81491,1.86191e-05,1.86191e-05,1.86191e-05
195,5572.17,0.37313,0.2933,1.05719,0.9913,0.98308,0.99459,0.97511,0.24949,0.20219,0.81411,1.65549e-05,1.65549e-05,1.65549e-05
196,5599.4,0.27339,0.24023,0.98407,0.99096,0.98283,0.99459,0.97519,0.24561,0.1992,0.80977,1.44908e-05,1.44908e-05,1.44908e-05
197,5626.01,0.26262,0.24012,0.9711,0.99072,0.98323,0.99459,0.97455,0.24421,0.19862,0.80913,1.24266e-05,1.24266e-05,1.24266e-05
198,5653.25,0.32422,0.44031,1.08405,0.99066,0.98427,0.9946,0.97433,0.24121,0.19759,0.8076,1.03625e-05,1.03625e-05,1.03625e-05
199,5680.22,0.2953,0.40612,0.99886,0.98155,0.99241,0.99458,0.97731,0.24145,0.19799,0.80772,8.2983e-06,8.2983e-06,8.2983e-06
200,5706.59,0.24352,0.22037,0.94564,0.9855,0.9875,0.99458,0.97652,0.24127,0.19813,0.80728,6.23415e-06,6.23415e-06,6.23415e-06
