epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1222.88,0.85664,0.79526,1.31757,0.96229,0.93968,0.97606,0.79871,0.70961,0.54473,1.30223,0.00033237,0.00033237,0.00033237
43,1250.36,0.82856,0.75051,1.32231,0.93128,0.97608,0.98507,0.81358,0.68516,0.52772,1.26236,0.000330306,0.000330306,0.000330306
44,1279.92,0.88639,0.86599,1.42536,0.95939,0.98385,0.98604,0.82602,0.65402,0.46333,1.2527,0.000328242,0.000328242,0.000328242
45,1310.27,0.81934,0.76163,1.31219,0.94765,0.96428,0.98337,0.80444,0.66541,0.54627,1.279,0.000326177,0.000326177,0.000326177
46,1339.49,0.82868,0.72705,1.32863,0.95415,0.95334,0.97907,0.785,0.73781,0.54834,1.32855,0.000324113,0.000324113,0.000324113
47,1367.62,0.85323,0.7846,1.35436,0.95997,0.96885,0.98618,0.82488,0.65303,0.48488,1.25761,0.000322049,0.000322049,0.000322049
48,1396.92,0.81988,0.77072,1.32,0.93627,0.95418,0.98154,0.80962,0.69748,0.51977,1.30311,0.000319985,0.000319985,0.000319985
49,1423.56,0.83272,0.79235,1.35871,0.94808,0.97057,0.98409,0.80813,0.67717,0.50418,1.27908,0.000317921,0.000317921,0.000317921
50,1451.45,0.78719,0.75552,1.30462,0.91949,0.98889,0.99107,0.83358,0.64486,0.49595,1.24571,0.000315857,0.000315857,0.000315857
51,1479.8,0.76548,0.72326,1.28535,0.94728,0.95674,0.98738,0.82714,0.6422,0.51919,1.23769,0.000313792,0.000313792,0.000313792
52,1507.7,0.84141,0.80404,1.34948,0.95688,0.9534,0.98542,0.82369,0.633,0.48094,1.23129,0.000311728,0.000311728,0.000311728
53,1536.82,0.78227,0.70808,1.31648,0.96536,0.96678,0.98505,0.81194,0.67869,0.51853,1.27688,0.000309664,0.000309664,0.000309664
54,1565.92,0.78707,0.73156,1.31659,0.92985,0.94825,0.97326,0.77059,0.78601,0.5528,1.38702,0.0003076,0.0003076,0.0003076
55,1593.27,0.72583,0.71291,1.26332,0.9494,0.93711,0.9794,0.80212,0.69847,0.51637,1.31487,0.000305536,0.000305536,0.000305536
56,1622,0.75405,0.69151,1.29966,0.96687,0.93453,0.97843,0.8369,0.60648,0.4578,1.18926,0.000303472,0.000303472,0.000303472
57,1651.64,0.75706,0.69294,1.28729,0.95634,0.975,0.98887,0.84431,0.59509,0.43335,1.17176,0.000301408,0.000301408,0.000301408
58,1681.6,0.77459,0.72004,1.31273,0.96981,0.9697,0.98993,0.8619,0.55456,0.40623,1.13324,0.000299343,0.000299343,0.000299343
59,1710.58,0.75095,0.7365,1.28914,0.96362,0.98817,0.9922,0.86462,0.56081,0.40159,1.13766,0.000297279,0.000297279,0.000297279
60,1741.04,0.81187,0.81943,1.32285,0.95171,0.98097,0.99129,0.84513,0.58927,0.453,1.16779,0.000295215,0.000295215,0.000295215
61,1767.63,0.7241,0.759,1.27467,0.97045,0.96302,0.98725,0.84498,0.57969,0.46772,1.16583,0.000293151,0.000293151,0.000293151
62,1793.88,0.78628,0.71687,1.31015,0.96425,0.98304,0.99169,0.85055,0.56068,0.41245,1.14679,0.000291087,0.000291087,0.000291087
63,1820.75,0.74057,0.722,1.29964,0.96817,0.98135,0.98705,0.86684,0.52995,0.39793,1.11053,0.000289023,0.000289023,0.000289023
64,1850.7,0.72184,0.61108,1.24901,0.9602,0.9927,0.98982,0.87127,0.52604,0.39132,1.09731,0.000286959,0.000286959,0.000286959
65,1880.86,0.68202,0.65082,1.22854,0.95676,0.97423,0.98951,0.86181,0.54596,0.41305,1.12457,0.000284894,0.000284894,0.000284894
66,1909.9,0.63866,0.62296,1.20681,0.97296,0.98302,0.9929,0.85893,0.56798,0.42622,1.14732,0.00028283,0.00028283,0.00028283
67,1937.34,0.67192,0.6428,1.22539,0.98613,0.98594,0.99442,0.86539,0.56453,0.40463,1.15073,0.000280766,0.000280766,0.000280766
68,1963.43,0.69041,0.61803,1.24007,0.97676,0.98058,0.99354,0.88245,0.5234,0.3838,1.10638,0.000278702,0.000278702,0.000278702
69,1992.76,0.66142,0.62211,1.22176,0.97047,0.98112,0.99098,0.88259,0.50715,0.36372,1.07964,0.000276638,0.000276638,0.000276638
70,2019.81,0.72646,0.66491,1.28545,0.95815,0.97917,0.99102,0.88031,0.51622,0.37094,1.08381,0.000274574,0.000274574,0.000274574
71,2047.81,0.68701,0.72939,1.22417,0.95793,0.97743,0.98826,0.89148,0.46977,0.35521,1.04085,0.000272509,0.000272509,0.000272509
